make,model,class,drive,transmission,cylinders,engine_displacement,fuel_type,fuel_type_1,city_mpg,highway_mpg,co2,fuel_economy_score,ghg_score
Hyundai,Santa Fe Sport AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,2.4,Regular,Regular Gasoline,20,26,406,5,5
Hyundai,Santa Fe Sport FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,20,28,388,5,5
Hyundai,Santa Fe Sport FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2.4,Regular,Regular Gasoline,21,27,379,5,5
Hyundai,Santa Fe Sport Ultimate AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,19,24,425,4,4
Hyundai,Santa Fe Sport Ultimate FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,20,27,396,5,5
Hyundai,Santa Fe Ultimate AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.3,Regular,Regular Gasoline,17,22,475,4,4
Hyundai,Santa Fe Ultimate FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),6,3.3,Regular,Regular Gasoline,17,23,457,4,4
Hyundai,Sonata,Large Cars,Front-Wheel Drive,Auto(AM7),4,1.6,Regular,Regular Gasoline,28,36,286,7,7
Hyundai,Sonata,Large Cars,Front-Wheel Drive,Automatic (S6),4,2.4,Regular,Regular Gasoline,25,36,307,7,7
Hyundai,Sonata,Large Cars,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,22,31,347,6,6
Hyundai,Sonata Hybrid,Midsize Cars,Front-Wheel Drive,Auto(AM6),4,2.0,Regular,Regular Gasoline,38,43,222,9,9
Hyundai,Sonata Hybrid SE,Midsize Cars,Front-Wheel Drive,Auto(AM6),4,2.0,Regular,Regular Gasoline,39,45,221,9,9
Hyundai,Sonata Limited,Large Cars,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,21,30,365,5,5
Hyundai,Sonata Plug-in Hybrid,Midsize Cars,Front-Wheel Drive,Auto(AM6),4,2.0,Regular Gas and Electricity,Regular Gasoline,38,40,104,10,10
Hyundai,Sonata Sport Limited,Large Cars,Front-Wheel Drive,Automatic (S6),4,2.4,Regular,Regular Gasoline,25,35,316,6,6
Hyundai,Tucson AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Auto(AM7),4,1.6,Regular,Regular Gasoline,24,28,355,5,5
Hyundai,Tucson AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,21,26,388,5,5
Hyundai,Tucson Eco AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Auto(AM7),4,1.6,Regular,Regular Gasoline,25,30,333,6,6
Hyundai,Tucson Eco FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Auto(AM7),4,1.6,Regular,Regular Gasoline,26,32,317,6,6
Hyundai,Tucson FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Auto(AM7),4,1.6,Regular,Regular Gasoline,25,30,334,6,6
Hyundai,Tucson FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2.0,Regular,Regular Gasoline,23,30,342,6,6
Hyundai,Veloster,Compact Cars,Front-Wheel Drive,Auto(AM6),4,1.6,Regular,Regular Gasoline,28,35,288,7,7
Hyundai,Veloster,Compact Cars,Front-Wheel Drive,Auto(AM7),4,1.6,Regular,Regular Gasoline,26,32,310,7,7
Hyundai,Veloster,Compact Cars,Front-Wheel Drive,Manual 6-Speed,4,1.6,Regular,Regular Gasoline,25,33,321,6,6
Hyundai,Veloster,Compact Cars,Front-Wheel Drive,Manual 6-Speed,4,1.6,Regular,Regular Gasoline,27,34,304,7,7
Infiniti,Q50,Midsize Cars,Rear-Wheel Drive,Automatic (S7),6,3.0,Premium,Premium Gasoline,20,29,390,5,5
Infiniti,Q50,Midsize Cars,Rear-Wheel Drive,Automatic (S7),4,2.0,Premium,Premium Gasoline,23,31,345,6,6
Infiniti,Q50 AWD,Midsize Cars,All-Wheel Drive,Automatic (S7),6,3.0,Premium,Premium Gasoline,19,27,408,5,5
Infiniti,Q50 AWD,Midsize Cars,All-Wheel Drive,Automatic (S7),4,2.0,Premium,Premium Gasoline,22,28,365,5,5
Infiniti,Q50 Hybrid,Compact Cars,Rear-Wheel Drive,Automatic (S7),6,3.5,Premium,Premium Gasoline,27,32,308,7,7
Infiniti,Q50 Hybrid AWD,Compact Cars,All-Wheel Drive,Automatic (S7),6,3.5,Premium,Premium Gasoline,26,30,321,6,6
Infiniti,Q50S Red Sport,Midsize Cars,Rear-Wheel Drive,Automatic (S7),6,3.0,Premium,Premium Gasoline,20,26,398,5,5
Infiniti,Q50S Red Sport  AWD,Midsize Cars,All-Wheel Drive,Automatic (S7),6,3.0,Premium,Premium Gasoline,19,26,412,5,5
Infiniti,Q60,Subcompact Cars,Rear-Wheel Drive,Automatic (S7),6,3.0,Premium,Premium Gasoline,19,28,396,5,5
Infiniti,Q60,Subcompact Cars,Rear-Wheel Drive,Automatic (S7),4,2.0,Premium,Premium Gasoline,22,30,353,5,5
Infiniti,Q60 AWD,Subcompact Cars,All-Wheel Drive,Automatic (S7),4,2.0,Premium,Premium Gasoline,21,28,374,5,5
Infiniti,Q60 AWD,Subcompact Cars,All-Wheel Drive,Automatic (S7),6,3.0,Premium,Premium Gasoline,19,27,407,5,5
Infiniti,Q60S Red Sport,Subcompact Cars,Rear-Wheel Drive,Automatic (S7),6,3.0,Premium,Premium Gasoline,20,27,398,5,5
Infiniti,Q60S Red Sport AWD,Subcompact Cars,All-Wheel Drive,Automatic (S7),6,3.0,Premium,Premium Gasoline,19,26,418,4,4
Infiniti,Q70,Midsize Cars,Rear-Wheel Drive,Automatic (S7),8,5.6,Premium,Premium Gasoline,16,24,464,4,4
Infiniti,Q70,Midsize Cars,Rear-Wheel Drive,Automatic (S7),6,3.7,Premium,Premium Gasoline,18,25,433,4,4
Infiniti,Q70 AWD,Midsize Cars,All-Wheel Drive,Automatic (S7),8,5.6,Premium,Premium Gasoline,16,23,487,3,3
Infiniti,Q70 AWD,Midsize Cars,All-Wheel Drive,Automatic (S7),6,3.7,Premium,Premium Gasoline,18,24,442,4,4
Infiniti,Q70 Hybrid,Midsize Cars,Rear-Wheel Drive,Automatic (S7),6,3.5,Premium,Premium Gasoline,28,33,296,7,7
Infiniti,QX30,Compact Cars,Front-Wheel Drive,Auto(AM7),4,2.0,Premium,Premium Gasoline,24,33,324,6,6
Infiniti,QX30 AWD,Compact Cars,All-Wheel Drive,Auto(AM7),4,2.0,Premium,Premium Gasoline,21,30,362,5,5
Infiniti,QX50,Small Station Wagons,Rear-Wheel Drive,Automatic (S7),6,3.7,Premium,Premium Gasoline,17,24,445,4,4
Infiniti,QX50 AWD,Small Station Wagons,All-Wheel Drive,Automatic (S7),6,3.7,Premium,Premium Gasoline,17,24,453,4,4
Infiniti,QX60 AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Auto(AV-S7),6,3.5,Premium,Premium Gasoline,19,26,410,5,5
Infiniti,QX60 FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Auto(AV-S7),6,3.5,Premium,Premium Gasoline,20,27,399,5,5
Infiniti,QX60 Hybrid AWD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Auto(AV-S7),4,2.5,Regular,Regular Gasoline,25,27,345,6,6
